欄位名稱,資料型別,非空值數量,總筆數,完整率,唯一值數量,重複率,前三大值,最小值,最大值,平均值,標準差
Transaction Number,object,103,103,100.0%,102,1.0%,"{'11674930103044631': 2, '12617196820487459': 1, '11504713397073060': 1}",,,,
Order Number,int64,103,103,100.0%,103,0.0%,,17524808149470.0,175367066661401.0,23657583587585.3,30640622298284.41
Payment Method,object,103,103,100.0%,2,98.1%,"{'moneypay': 99, 'intellapay': 4}",,,,
Purchase Method,object,103,103,100.0%,2,98.1%,"{'Cash Payment': 99, 'app购买': 4}",,,,
Create Time,datetime64[ns],103,103,100.0%,102,1.0%,,,,,
Order Status,object,103,103,100.0%,3,97.1%,"{'Successfully Dispense': 67, 'Dispensing Error': 26, 'Refunded': 10}",,,,
Cargo,int64,103,103,100.0%,8,92.2%,,1.0,14.0,5.64,4.8
Product Name,object,103,103,100.0%,7,93.2%,"{'測試品（單價 60 元）': 28, '雞絲魚腸飯T': 20, '魚香餅肉T': 16}",,,,
Quantity,int64,103,103,100.0%,1,99.0%,,1.0,1.0,1.0,0.0
 Expiry Date,float64,0,103,0.0%,0,N/A,,,,,
Batch Number,float64,0,103,0.0%,0,N/A,,,,,
Price,int64,103,103,100.0%,8,92.2%,,1.0,100.0,58.58,32.44
Cost,int64,103,103,100.0%,9,91.3%,,1.0,100.0,54.75,23.31
 Actual Payment Amount,int64,103,103,100.0%,8,92.2%,,1.0,100.0,58.58,32.44
Time,object,103,103,100.0%,102,1.0%,"{'2025-07-17 17:18:01': 2, '2025-07-28 15:00:34': 1, '2025-07-15 17:59:49': 1}",,,,
Name,float64,0,103,0.0%,0,N/A,,,,,
 ID Number,float64,0,103,0.0%,0,N/A,,,,,
Body Temperature,float64,0,103,0.0%,0,N/A,,,,,
 Phone Number,float64,0,103,0.0%,0,N/A,,,,,
Address,object,103,103,100.0%,1,99.0%,{'台湾省高雄市盐埕区七賢二路472號': 103},,,,
Equipment ID,int64,103,103,100.0%,2,98.1%,,7680364.0,7680365.0,7680364.29,0.46
Specification,object,103,103,100.0%,1,99.0%,{'份': 103},,,,
 Dosage Form,float64,0,103,0.0%,0,N/A,,,,,
Manufacturer,float64,0,103,0.0%,0,N/A,,,,,
Referrer,float64,0,103,0.0%,0,N/A,,,,,
Payee,object,103,103,100.0%,2,98.1%,"{'阿米哥': 73, 'test': 30}",,,,
 Third-party ID,float64,0,103,0.0%,0,N/A,,,,,
 Product Category,float64,0,103,0.0%,0,N/A,,,,,
Date,object,103,103,100.0%,8,92.2%,"{datetime.date(2025, 7, 14): 24, datetime.date(2025, 7, 18): 23, datetime.date(2025, 7, 15): 15}",,,,
Hour,int32,103,103,100.0%,11,89.3%,,,,,
